alpha	total_observations	power	effect_size	metric	column
0.01	50	0.03101033677892631	0.003139356366458203	omega_sq	last_travel
0.01	100	0.06668889629876626	0.003139356366458203	omega_sq	last_travel
0.01	150	0.11803934644881627	0.003139356366458203	omega_sq	last_travel
0.01	200	0.17239079693231077	0.003139356366458203	omega_sq	last_travel
0.01	250	0.2674224741580527	0.003139356366458203	omega_sq	last_travel
0.01	300	0.42014004668222743	0.003139356366458203	omega_sq	last_travel
0.01	350	0.511837279093031	0.003139356366458203	omega_sq	last_travel
0.01	400	0.577192397465822	0.003139356366458203	omega_sq	last_travel
0.01	450	0.6948982994331444	0.003139356366458203	omega_sq	last_travel
0.01	500	0.7249083027675892	0.003139356366458203	omega_sq	last_travel
0.01	550	0.8402800933644549	0.003139356366458203	omega_sq	last_travel
0.01	600	0.8709569856618873	0.003139356366458203	omega_sq	last_travel
0.01	650	0.9296432144048016	0.003139356366458203	omega_sq	last_travel
0.01	700	0.9483161053684561	0.003139356366458203	omega_sq	last_travel
0.01	750	0.962320773591197	0.003139356366458203	omega_sq	last_travel
0.01	800	0.9879959986662221	0.003139356366458203	omega_sq	last_travel
0.01	850	0.9876625541847283	0.003139356366458203	omega_sq	last_travel
0.01	900	0.9923307769256419	0.003139356366458203	omega_sq	last_travel
0.01	950	0.9969989996665555	0.003139356366458203	omega_sq	last_travel
0.01	1000	0.9969989996665555	0.003139356366458203	omega_sq	last_travel
0.05	50	0.11203734578192731	0.003139356366458203	omega_sq	last_travel
0.05	100	0.21007002334111372	0.003139356366458203	omega_sq	last_travel
0.05	150	0.294431477159053	0.003139356366458203	omega_sq	last_travel
0.05	200	0.3864621540513504	0.003139356366458203	omega_sq	last_travel
0.05	250	0.5248416138712905	0.003139356366458203	omega_sq	last_travel
0.05	300	0.6635545181727243	0.003139356366458203	omega_sq	last_travel
0.05	350	0.7545848616205402	0.003139356366458203	omega_sq	last_travel
0.05	400	0.8012670890296766	0.003139356366458203	omega_sq	last_travel
0.05	450	0.8602867622540847	0.003139356366458203	omega_sq	last_travel
0.05	500	0.9106368789596532	0.003139356366458203	omega_sq	last_travel
0.05	550	0.9529843281093698	0.003139356366458203	omega_sq	last_travel
0.05	600	0.9653217739246416	0.003139356366458203	omega_sq	last_travel
0.05	650	0.9856618872957652	0.003139356366458203	omega_sq	last_travel
0.05	700	0.991997332444148	0.003139356366458203	omega_sq	last_travel
0.05	750	0.9946648882960987	0.003139356366458203	omega_sq	last_travel
0.05	800	0.9963321107035679	0.003139356366458203	omega_sq	last_travel
0.05	850	0.9986662220740247	0.003139356366458203	omega_sq	last_travel
0.05	900	0.9993331110370124	0.003139356366458203	omega_sq	last_travel
0.05	950	1.0	0.003139356366458203	omega_sq	last_travel
0.05	1000	0.9996665555185061	0.003139356366458203	omega_sq	last_travel
0.1	50	0.18739579859953318	0.003139356366458203	omega_sq	last_travel
0.1	100	0.3351117039013004	0.003139356366458203	omega_sq	last_travel
0.1	150	0.40546848949649883	0.003139356366458203	omega_sq	last_travel
0.1	200	0.5261753917972658	0.003139356366458203	omega_sq	last_travel
0.1	250	0.65621873957986	0.003139356366458203	omega_sq	last_travel
0.1	300	0.7775925308436146	0.003139356366458203	omega_sq	last_travel
0.1	350	0.8466155385128377	0.003139356366458203	omega_sq	last_travel
0.1	400	0.8822940980326776	0.003139356366458203	omega_sq	last_travel
0.1	450	0.9276425475158386	0.003139356366458203	omega_sq	last_travel
0.1	500	0.9606535511837279	0.003139356366458203	omega_sq	last_travel
0.1	550	0.9796598866288763	0.003139356366458203	omega_sq	last_travel
0.1	600	0.9873291097032344	0.003139356366458203	omega_sq	last_travel
0.1	650	0.9933311103701233	0.003139356366458203	omega_sq	last_travel
0.1	700	0.9979993331110371	0.003139356366458203	omega_sq	last_travel
0.1	750	0.9979993331110371	0.003139356366458203	omega_sq	last_travel
0.1	800	0.9989996665555185	0.003139356366458203	omega_sq	last_travel
0.1	850	0.9996665555185061	0.003139356366458203	omega_sq	last_travel
0.1	900	0.9996665555185061	0.003139356366458203	omega_sq	last_travel
0.1	950	1.0	0.003139356366458203	omega_sq	last_travel
0.1	1000	1.0	0.003139356366458203	omega_sq	last_travel
